Nome,Clube,Posição,Preço (C$),Pontos Média,Partidas,CA,DS,FC,DE,DP,FS,GS,SG,A,FF,FD,I,G,CV,V,PP,PS,PC,FT,GC
Jair,BOT,Zagueiro,6.27,3.3,5,,2.0,2.0,,,5.0,,2.0,,2.0,,,,,,,,,,
David Ricardo,BOT,Zagueiro,2.31,-3.3,1,,,1.0,,,,,,,,,,,1.0,,,,,,
Philipe Sampaio,BOT,Zagueiro,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Alex Telles,BOT,Lateral,9.92,3.82,4,,3.0,9.0,,,3.0,,2.0,,1.0,1.0,,,,,,,,,
Jeffinho,BOT,Atacante,3.36,-0.3,1,,,1.0,,,,,,,,,,,,,,,,,
Léo Linck,BOT,Goleiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Mateo Ponte,BOT,Lateral,7.06,4.0,4,,2.0,1.0,,,1.0,,1.0,,,,2.0,1.0,,,,,,,
Rwan Cruz,BOT,Atacante,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Nathan Fernandes,BOT,Atacante,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Matheus Martins,BOT,Atacante,5.37,2.75,4,1.0,4.0,4.0,,,8.0,,,,1.0,2.0,,,,,,,,,
Fernando Miguel,CEA,Goleiro,3.99,3.4,1,,,,3.0,,1.0,1.0,,,,,,,,,,,,,
Marllon,CEA,Zagueiro,6.65,4.15,4,,3.0,3.0,,,,,1.0,,,,,1.0,,,,,,,
Richard,CEA,Goleiro,5.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Newton,BOT,Meia,3.14,0.6,2,,1.0,1.0,,,,,,,,,,,,,,,,,
Cadu,CAM,Atacante,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Yarlen,BOT,Atacante,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rafael Lobato,BOT,Atacante,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kayke Queiroz,BOT,Atacante,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Bruno Ferreira,CEA,Goleiro,5.49,4.4,3,1.0,,1.0,10.0,,1.0,4.0,1.0,,,,,,,,,,,,
Fernando Sobral,CEA,Meia,5.38,2.37,4,2.0,7.0,6.0,,,4.0,,,,1.0,,,,,,,,,,
Aylon,CEA,Atacante,4.89,4.05,4,,4.0,6.0,,,4.0,,,,1.0,1.0,,1.0,,,,,,,
Richardson,CEA,Meia,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Éder,CEA,Zagueiro,2.9,0.8,1,,,,,,,,,,1.0,,,,,,,,,,
Luiz Otávio,CEA,Zagueiro,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Kauê Rodrigues,BOT,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Rafael Ramos,CEA,Lateral,3.75,1.5,3,1.0,4.0,6.0,,,1.0,,,,1.0,,,,,,,,,,
Pedro Raul,CEA,Atacante,10.19,6.95,4,2.0,2.0,8.0,,,9.0,,,,6.0,1.0,3.0,2.0,,,,,,1.0,
Serafim,BOT,Zagueiro,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Willian Machado,CEA,Zagueiro,3.47,2.42,4,,3.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
Fernandinho,CEA,Atacante,5.88,4.3,2,,4.0,1.0,,,2.0,,,,1.0,1.0,1.0,,,,,,,,
Bruno Tubarão,CEA,Lateral,4.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Pedro Henrique,CEA,Atacante,6.76,1.3,1,,1.0,,,,,,,,1.0,,,,,,,,1.0,,
Diego,CEA,Lateral,9.98,7.75,4,,10.0,1.0,,,11.0,,1.0,1.0,1.0,,,,,,,,,,
Recalde,CEA,Meia,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,
Galeano,CEA,Atacante,3.33,1.85,4,1.0,2.0,2.0,,,5.0,,,,,3.0,1.0,,,,,,,,
